glyph_id,recording,broadcast,cycle,track,ordinal,frame,time_s,source,provisional,hamming_distance,confidence,assignment_basis,verification_status,observed_fingerprint
69,E6C3-18,E6C3-18,E6C3,Sparse,2,648,21.6031,ArchiveInvest manual,False,0,,matches corpus tag,single-source corpus entry; unverified,000100001000000000000000001000010000000000000100000000000000001000000001000000001
70,E6C3-18,E6C3-18,E6C3,Sparse,3,654,21.803,ArchiveInvest manual,False,0,,matches corpus tag,single-source corpus entry; unverified,000000000001000000000000000000000000000100000100000000010000000000000100010000010
71,E6C3-18,E6C3-18,E6C3,Sparse,4,660,22.003,ArchiveInvest manual,False,0,,matches corpus tag,single-source corpus entry; unverified,000000000001000000000000001000000001001001100000011000000000000000000001000000110
72,E6C3-18,E6C3-18,E6C3,Sparse,5,661,22.0363,ArchiveInvest manual,False,0,,matches corpus tag,single-source corpus entry; unverified,010100000001000000100000000000000001000010000000100001010000000010000000001000000
73,E6C3-18,E6C3-18,E6C3,Sparse,6,672,22.403,ArchiveInvest manual,False,0,,matches corpus tag,single-source corpus entry; unverified,000001000100000000000000010000000000001000100000000000000010000000000001000000100
74,E6C3-18,E6C3-18,E6C3,Sparse,7,673,22.4363,ArchiveInvest manual,False,0,,matches corpus tag,single-source corpus entry; unverified,000100000001000010000010000100000001000000000000010000000000000010000001000000011
75,E6C3-18,E6C3-18,E6C3,Sparse,8,684,22.803,ArchiveInvest manual,False,0,,matches corpus tag,single-source corpus entry; unverified,000000001010000010000000000000011000000000000000001000110000000000000001100101100
76,E6C3-18,E6C3-18,E6C3,Sparse,9,690,23.003,ArchiveInvest manual,False,0,,matches corpus tag,single-source corpus entry; unverified,000000000000000010000000000000000000000100000000100000000000000000000000010001101
77,E6C3-18,E6C3-18,E6C3,Sparse,10,691,23.0363,ArchiveInvest manual,False,0,,matches corpus tag,single-source corpus entry; unverified,011000000000000110000000010000000001000011100000000000100000000000000101000001000
78,E6C3-18,E6C3-18,E6C3,Sparse,11,697,23.2363,ArchiveInvest manual,False,0,,matches corpus tag,single-source corpus entry; unverified,010000001100000000010010000000000001000000100000000000000000000010000001010000000
79,E6C3-18,E6C3-18,E6C3,Sparse,12,708,23.603,ArchiveInvest manual,False,0,,matches corpus tag,single-source corpus entry; unverified,111000000000000000000000000000000000000000000000100000000000000001000000000001001
80,E6C3-18,E6C3-18,E6C3,Sparse,13,709,23.6363,ArchiveInvest manual,False,0,,matches corpus tag,single-source corpus entry; unverified,010001000110000001000000000100111000001000000000000000000000000011000001010100000
81,E6C3-18,E6C3-18,E6C3,Sparse,14,715,23.8363,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,000000000000000000000010000000010000000011000000000000100000000001000000100001000
