recording,ordinal,frame,source_video,source_sha256,method,review_status,overlay_enabled,reference_geometry_status,reference_frame,reference_geometry_provenance,operational_consensus,operational_status,proposal_selected,consensus_disagreement_cells,minimum_temporal_step_inliers,minimum_temporal_step_inlier_ratio
E6C2-1N,1,701,E6C2-1N.mp4,1c949646ee39f4dca46d10651d9465ef48643580591b99f0579ab377d6c6dbef,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,awaiting-reviewed-reference,,,False,awaiting reviewed reference geometry,,,,
E6C2-1N,2,708,E6C2-1N.mp4,1c949646ee39f4dca46d10651d9465ef48643580591b99f0579ab377d6c6dbef,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,awaiting-reviewed-reference,,,False,awaiting reviewed reference geometry,,,,
E6C2-1N,3,713,E6C2-1N.mp4,1c949646ee39f4dca46d10651d9465ef48643580591b99f0579ab377d6c6dbef,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,awaiting-reviewed-reference,,,False,awaiting reviewed reference geometry,,,,
E6C2-1N,4,719,E6C2-1N.mp4,1c949646ee39f4dca46d10651d9465ef48643580591b99f0579ab377d6c6dbef,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,awaiting-reviewed-reference,,,False,awaiting reviewed reference geometry,,,,
E6C2-1N,5,725,E6C2-1N.mp4,1c949646ee39f4dca46d10651d9465ef48643580591b99f0579ab377d6c6dbef,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,awaiting-reviewed-reference,,,False,awaiting reviewed reference geometry,,,,
E6C2-1N,6,731,E6C2-1N.mp4,1c949646ee39f4dca46d10651d9465ef48643580591b99f0579ab377d6c6dbef,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,awaiting-reviewed-reference,,,False,awaiting reviewed reference geometry,,,,
E6C2-1N,7,737,E6C2-1N.mp4,1c949646ee39f4dca46d10651d9465ef48643580591b99f0579ab377d6c6dbef,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,awaiting-reviewed-reference,,,False,awaiting reviewed reference geometry,,,,
E6C2-1N,8,743,E6C2-1N.mp4,1c949646ee39f4dca46d10651d9465ef48643580591b99f0579ab377d6c6dbef,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,awaiting-reviewed-reference,,,False,awaiting reviewed reference geometry,,,,
E6C2-1N,9,749,E6C2-1N.mp4,1c949646ee39f4dca46d10651d9465ef48643580591b99f0579ab377d6c6dbef,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,awaiting-reviewed-reference,,,False,awaiting reviewed reference geometry,,,,
E6C2-1N,10,755,E6C2-1N.mp4,1c949646ee39f4dca46d10651d9465ef48643580591b99f0579ab377d6c6dbef,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,awaiting-reviewed-reference,,,False,awaiting reviewed reference geometry,,,,
E6C2-1N,11,761,E6C2-1N.mp4,1c949646ee39f4dca46d10651d9465ef48643580591b99f0579ab377d6c6dbef,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,awaiting-reviewed-reference,,,False,awaiting reviewed reference geometry,,,,
E6C2-1N,12,767,E6C2-1N.mp4,1c949646ee39f4dca46d10651d9465ef48643580591b99f0579ab377d6c6dbef,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,awaiting-reviewed-reference,,,False,awaiting reviewed reference geometry,,,,
E6C2-1N,13,773,E6C2-1N.mp4,1c949646ee39f4dca46d10651d9465ef48643580591b99f0579ab377d6c6dbef,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,awaiting-reviewed-reference,,,False,awaiting reviewed reference geometry,,,,
E6C2-1N,14,779,E6C2-1N.mp4,1c949646ee39f4dca46d10651d9465ef48643580591b99f0579ab377d6c6dbef,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,awaiting-reviewed-reference,,,False,awaiting reviewed reference geometry,,,,
E6C2-1N,15,786,E6C2-1N.mp4,1c949646ee39f4dca46d10651d9465ef48643580591b99f0579ab377d6c6dbef,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,awaiting-reviewed-reference,,,False,awaiting reviewed reference geometry,,,,
E6C2-1N,16,791,E6C2-1N.mp4,1c949646ee39f4dca46d10651d9465ef48643580591b99f0579ab377d6c6dbef,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,awaiting-reviewed-reference,,,False,awaiting reviewed reference geometry,,,,
E6C2-1N,17,797,E6C2-1N.mp4,1c949646ee39f4dca46d10651d9465ef48643580591b99f0579ab377d6c6dbef,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,awaiting-reviewed-reference,,,False,awaiting reviewed reference geometry,,,,
E6C2-1N,18,803,E6C2-1N.mp4,1c949646ee39f4dca46d10651d9465ef48643580591b99f0579ab377d6c6dbef,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,awaiting-reviewed-reference,,,False,awaiting reviewed reference geometry,,,,
E6C2-1N,19,809,E6C2-1N.mp4,1c949646ee39f4dca46d10651d9465ef48643580591b99f0579ab377d6c6dbef,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,awaiting-reviewed-reference,,,False,awaiting reviewed reference geometry,,,,
E6C2-1N,20,815,E6C2-1N.mp4,1c949646ee39f4dca46d10651d9465ef48643580591b99f0579ab377d6c6dbef,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,awaiting-reviewed-reference,,,False,awaiting reviewed reference geometry,,,,
E6C2-1N,21,821,E6C2-1N.mp4,1c949646ee39f4dca46d10651d9465ef48643580591b99f0579ab377d6c6dbef,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,awaiting-reviewed-reference,,,False,awaiting reviewed reference geometry,,,,
E6C2-1N,22,827,E6C2-1N.mp4,1c949646ee39f4dca46d10651d9465ef48643580591b99f0579ab377d6c6dbef,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,awaiting-reviewed-reference,,,False,awaiting reviewed reference geometry,,,,
E6C2-1N,23,833,E6C2-1N.mp4,1c949646ee39f4dca46d10651d9465ef48643580591b99f0579ab377d6c6dbef,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,awaiting-reviewed-reference,,,False,awaiting reviewed reference geometry,,,,
E6C2-1N,24,839,E6C2-1N.mp4,1c949646ee39f4dca46d10651d9465ef48643580591b99f0579ab377d6c6dbef,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,awaiting-reviewed-reference,,,False,awaiting reviewed reference geometry,,,,
E6C2-1N,25,845,E6C2-1N.mp4,1c949646ee39f4dca46d10651d9465ef48643580591b99f0579ab377d6c6dbef,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,awaiting-reviewed-reference,,,False,awaiting reviewed reference geometry,,,,
E6C2-1N,26,851,E6C2-1N.mp4,1c949646ee39f4dca46d10651d9465ef48643580591b99f0579ab377d6c6dbef,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,awaiting-reviewed-reference,,,False,awaiting reviewed reference geometry,,,,
E6C2-1N,27,857,E6C2-1N.mp4,1c949646ee39f4dca46d10651d9465ef48643580591b99f0579ab377d6c6dbef,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,awaiting-reviewed-reference,,,False,awaiting reviewed reference geometry,,,,
