recording,ordinal,frame,source_video,source_sha256,method,review_status,overlay_enabled,corpus_fingerprint,detected_fingerprint,hamming_to_corpus,detector_separation,comparison,center_x,center_y,pitch_x,pitch_y,fit_score_x,fit_score_y
E6C2-1K,21,342,E6C2-1K zoomed.mp4,678cbc8989d975d610dfa69ff33385a02037ca794807a4aedda5e330a7f02325,independent-grid-line-plus-ring-read-v1,pending,False,001001000000000001000000000000110000000000000100010000000000000000000000000000011,111101111001000000000000001000000000000110000000000000100010000000000000000000000,19,0.239,disagreement,242.0,201.0,41.0,41.5,23.9148,27.0477
E6C2-1K,22,347,E6C2-1K zoomed.mp4,678cbc8989d975d610dfa69ff33385a02037ca794807a4aedda5e330a7f02325,independent-grid-line-plus-ring-read-v1,pending,False,001000000001000010000000001000000000000000100000000000000000000000000000000000000,001000000001000010000000001000000000000000100000000000000000010000000000000000000,1,0.1395,near support,245.0,236.0,43.0,43.0,25.0477,27.515
E6C2-1K,23,354,E6C2-1K zoomed.mp4,678cbc8989d975d610dfa69ff33385a02037ca794807a4aedda5e330a7f02325,independent-grid-line-plus-ring-read-v1,pending,False,000000000000000001000000000100110000000000000000010000100000010000000000000001010,000000000000000000000000000100110000001101000100111000100000010110000010001001000,12,0.0941,disagreement,247.0,234.0,44.0,44.0,25.8069,30.056
E6C2-1K,24,359,E6C2-1K zoomed.mp4,678cbc8989d975d610dfa69ff33385a02037ca794807a4aedda5e330a7f02325,independent-grid-line-plus-ring-read-v1,pending,False,000100100000000000000000000000101000000010000000000000000010000100000000001000100,000100100000000000000000000000101000001010000000100000000010000010000000011101100,7,0.1657,disagreement,247.0,236.0,44.0,45.5,27.0662,34.315
E6C2-1K,25,365,E6C2-1K zoomed.mp4,678cbc8989d975d610dfa69ff33385a02037ca794807a4aedda5e330a7f02325,independent-grid-line-plus-ring-read-v1,pending,False,000100101000000000010010000000001000001010100100100000000000010000000000000000010,000100101000000010010010000000001000001010100100100000010000010000000010000000000,4,0.1445,disagreement,245.0,245.0,47.0,47.0,30.9725,33.6085
E6C2-1K,26,372,E6C2-1K zoomed.mp4,678cbc8989d975d610dfa69ff33385a02037ca794807a4aedda5e330a7f02325,independent-grid-line-plus-ring-read-v1,pending,False,000100000010000000010010001000010000000001000000010000000000000000000000110000001,000100000010000000010010001000010000000001000000010000000000001000000000000000000,4,0.1523,disagreement,239.0,236.0,47.0,48.5,28.0356,30.4529
E6C2-1K,27,376,E6C2-1K zoomed.mp4,678cbc8989d975d610dfa69ff33385a02037ca794807a4aedda5e330a7f02325,independent-grid-line-plus-ring-read-v1,pending,False,000000100000000000000000000100100000000000100000000000000010010000000101010000100,000000000000000001010010000000010000000000000000001001000000010000000010000000000,16,0.1217,disagreement,197.0,285.0,50.0,49.5,33.0998,30.5323
E6C2-1K,28,382,E6C2-1K zoomed.mp4,678cbc8989d975d610dfa69ff33385a02037ca794807a4aedda5e330a7f02325,independent-grid-line-plus-ring-read-v1,pending,False,000000000000000001100000001000001000000000100000100000000000000000000010001100000,000000000000000000100000001000001000000000100000100000000000000000000010001100000,1,0.1443,near support,244.0,235.0,50.0,50.5,28.4723,29.7092
E6C2-1K,29,389,E6C2-1K zoomed.mp4,678cbc8989d975d610dfa69ff33385a02037ca794807a4aedda5e330a7f02325,independent-grid-line-plus-ring-read-v1,pending,False,000001100101000001000000000000010000001000000000001000000000000010000001000000010,001000110000000000000000010000111000000001000000000000000000000001000010000001010,17,0.1566,disagreement,160.0,286.0,29.5,51.5,29.4315,31.0329
E6C2-1K,30,396,E6C2-1K zoomed.mp4,678cbc8989d975d610dfa69ff33385a02037ca794807a4aedda5e330a7f02325,independent-grid-line-plus-ring-read-v1,pending,False,000000000000000000000000000000010000000000000100000000000000000000000000000000000,000000000000000000000000000000100000000000000000000000000000000000000000000000000,3,0.1808,disagreement,289.0,242.0,53.0,53.0,38.5281,33.4833
E6C2-1N,1,701,E6C2-1N.mp4,1c949646ee39f4dca46d10651d9465ef48643580591b99f0579ab377d6c6dbef,independent-grid-line-plus-ring-read-v1,pending,False,000100110100000101000010000000100000000100000000000000100000000001000010001000010,010001011111000001100010010000111000000011000100001001110000011001000011111101110,27,0.1667,disagreement,222.0,305.0,19.0,25.5,17.1335,18.6106
E6C2-1N,2,708,E6C2-1N.mp4,1c949646ee39f4dca46d10651d9465ef48643580591b99f0579ab377d6c6dbef,independent-grid-line-plus-ring-read-v1,pending,False,000000000000000000010000010000000000000100000100101001010000000011000000000000001,010001110100000111000000011000000001001010000100100001110000011111000001011101111,26,0.1714,disagreement,270.0,308.0,22.0,29.0,19.1192,21.0023
E6C2-1N,3,713,E6C2-1N.mp4,1c949646ee39f4dca46d10651d9465ef48643580591b99f0579ab377d6c6dbef,independent-grid-line-plus-ring-read-v1,pending,False,000001001000000010000000000000010000000000000000000000010010000001000001000100000,000001111000000011000000001000010001000000000000000000010010001001000001000100000,6,0.1413,disagreement,239.0,285.0,30.5,30.5,24.844,24.5665
E6C2-1N,4,719,E6C2-1N.mp4,1c949646ee39f4dca46d10651d9465ef48643580591b99f0579ab377d6c6dbef,independent-grid-line-plus-ring-read-v1,pending,False,100001000000000000000000000000000000000010000000000000010000000000000000000000000,000000000000000001000010000000010000000000000000000001010000001001000110111101111,19,0.114,disagreement,237.0,312.0,33.5,33.5,26.0354,32.419
E6C2-1N,5,725,E6C2-1N.mp4,1c949646ee39f4dca46d10651d9465ef48643580591b99f0579ab377d6c6dbef,independent-grid-line-plus-ring-read-v1,pending,False,000000000011000000000000000000000000000000100100001000010000000001000000010000000,000000000011000000000010001000010001000010100100011000010010001011000101000100110,15,0.0871,disagreement,237.0,278.0,34.5,35.0,30.7102,27.7352
E6C2-1N,6,731,E6C2-1N.mp4,1c949646ee39f4dca46d10651d9465ef48643580591b99f0579ab377d6c6dbef,independent-grid-line-plus-ring-read-v1,pending,False,001000001011000000100000000000000000000000000000000001010000000010000000000001000,111101111001000011010000000100000001000000000000000000000000001010000001010000000,19,0.1629,disagreement,237.0,249.0,34.5,34.5,30.4913,28.0219
E6C2-1N,7,737,E6C2-1N.mp4,1c949646ee39f4dca46d10651d9465ef48643580591b99f0579ab377d6c6dbef,independent-grid-line-plus-ring-read-v1,pending,False,000001001101000000100010001000000001000001000000000000000000000000000000000000001,000001101001000000100010001000010001000011000000010000000010001010000101000101100,14,0.0849,disagreement,237.0,278.0,34.5,35.0,31.5396,27.5054
E6C2-1N,8,743,E6C2-1N.mp4,1c949646ee39f4dca46d10651d9465ef48643580591b99f0579ab377d6c6dbef,independent-grid-line-plus-ring-read-v1,pending,False,000000010000000001000000000000000000000000000000000000000000000010000000001001000,111101111000000110000000001000000001000000000000000000000000000000000001010000000,17,0.1596,disagreement,237.0,249.0,34.5,34.5,31.646,29.3423
E6C2-1N,9,749,E6C2-1N.mp4,1c949646ee39f4dca46d10651d9465ef48643580591b99f0579ab377d6c6dbef,independent-grid-line-plus-ring-read-v1,pending,False,000000000000000000010000010000000000000000000100000000000010001000000101001000000,111101111000000110000000000000000001000000000000000000100000000000000001000000101,21,0.1627,disagreement,237.0,249.0,34.5,34.5,32.1596,28.0433
E6C2-1N,10,755,E6C2-1N.mp4,1c949646ee39f4dca46d10651d9465ef48643580591b99f0579ab377d6c6dbef,independent-grid-line-plus-ring-read-v1,pending,False,100001000000000000000010000000000000000000000100010001000000000000000010100101000,111101111100000110000000000000010001000000000000000000100010001000000001000000010,24,0.1676,disagreement,237.0,249.0,34.5,34.5,31.2719,27.9283
E6C2-1N,11,761,E6C2-1N.mp4,1c949646ee39f4dca46d10651d9465ef48643580591b99f0579ab377d6c6dbef,independent-grid-line-plus-ring-read-v1,pending,False,010000001001000001000000010000000000000000000000000000000000001001000000000000010,111101111010000111000000001000000001000000000000000000000000000000000001001000000,18,0.158,disagreement,237.0,249.0,34.5,34.5,31.6231,28.4277
